Name,Price
"Asus Vivobook Pro 14 M3401Qc-Oled/R7 5800H/16Gb Ram/1Tb Ssd/14"" 2.8K Wqxga 90Hz Oled Display/Rtx 3050 4Gb Graphics/Backlit/Fingerprint/Bag/Windows 11/2 Year International Warranty - Nagmani International","Rs. 187,777"
Asus VivoBook 14 E410KA Intel Celeron N4500 – 4GB DDR4 RAM – 64GB EMMc+ 256GB PCIe NVMe SSD – Intel UHD Graphics – 14″ FHD Display – Windows 11 Home – Star Black,"Rs. 36,999"
Lenovo IdeaPad Slim 3 2022 Ryzen 5 7520U,"Rs. 59,999"
"MSI Leopard GP76-11UH / i7 11th Gen / 16GB RAM / 1TB SSD / RTX 3080 - 8GB / 17.3"" QHD 165Hz Display","Rs. 375,000"
"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 54,000"
Asus Vivobook 14 | Core i3-12th Gen | 8 GB RAM | 256 GB SSD | 14″ FHD Display | Magic Numpad,"Rs. 50,000"
"Lenovo IdeaPad 5 Pro Ryzen 7 6800HS 16GB RAM 1TB SSD RTX 3050ti 16"" 2.5K (2880x1800) display","Rs. 149,990"
Dell Latitude 5330 | Core i5-12th Gen | 16 GB RAM | 512 Gb SSD | 13.3″ FHD Display | Backlit Keyboard | 1 Year Warranty,"Rs. 78,000"
Acer Aspire 3 A314-36P Intel Core i3 N305 13th Gen – 8GB DDR5 RAM – 512GB PCIe NVMe M.2 SSD – Intel UHD Graphics – 14″ FHD Display – Windows 11 Home – Silver,"Rs. 52,999"
Acer Aspire 3 I5-11th Gen-8GB RAM-512GB SSD -15.6FHD,"Rs. 62,998"
Acer Aspire Lite | Intel Core i3-N300 | 8GB DDR5 RAM | 512GB NVMe SSD | 14″ WUXGA IPS Display | 1-Year Warranty,"Rs. 50,999"
"Acer Aspire 3 15 | AMD Ryzen 7 5700U | 16GB DDR4 | 512GB NVMe SSD | 15.6"" FHD Display Laptop","Rs. 67,990"
Acer Extensa 15 215 - i5 11th Gen 8GB 256SSD 15.6FHD,"Rs. 61,047"
Lenovo IdeaPad Slim 3 14IRH8 (13th Generation Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD | 14.0-inch FHD (1920 x 1080) Display | Intel UHD Graphics | Backlit Keyboard),"Rs. 80,500"
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H – 8GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 15.6″ FHD Display – Arctic Grey,"Rs. 76,999"
Lenovo IdeaPad Slim 3 14IRH8 (13th Generation Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD | 14.0-inch FHD (1920 x 1080) Display | Intel UHD Graphics | Backlit Keyboard),"Rs. 75,000"
"Dell Latitude 14 5420 2021 (11th Gen i5-1135G7, 8GB, 256GB, 14″ FHD)","Rs. 54,899"
